girls,help,rating_R,cast,man,man,high,high,family,country,young,love,love,rating_NR,woman,rating_G,duration,black,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,9814,0,0,0,0,0,1325,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2021.0,0.0,0,0,0,1,0,6249,0,0,0,0.0,0.0
0,0,0.0,2150,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,4,0,0,0,0.21740479974246285,0,0.0,0,0,0.0,0,0,2006.3041184043782,0.7825952002575371,1,0,0,1,0,1723,0,0,0,0.0,0.0
0,0,0.0,6799,0,0,0,0,1,9337,0,0,0,0.0,0,0.0,4,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2021.0,1.0,0,1,0,1,0,6056,0,0,0,0.0,0.0
0,0,0.0,1141,0,0,0,0,0,7603,0,0,1,0.0,0,0.0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,1,2009.0,1.0,0,0,0,1,0,4469,0,0,0,0.0,0.0
0,0,0.0,7492,0,0,0,0,0,6044,0,0,0,0.0,0,0.0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,1,2019.0,0.0,0,0,0,1,1,9148,0,0,0,0.0,0.0
0,0,0.0,5354,0,0,0,0,0,4096,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,1,0,6458,0,0,1,0.0,0.0
0,0,0.0,1117,0,1,0,0,0,5146,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2016.0,1.0,1,0,0,1,0,9769,0,0,0,0.0,0.0
0,0,0.0,6764,0,0,0,0,0,6762,1,0,0,0.0,1,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,0,6280,0,0,0,0.0,0.0
0,0,0.0,9968,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,5,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2010.0,1.0,1,0,0,1,0,5129,0,0,0,0.0,0.0
0,0,0.0,5252,0,0,0,0,0,6044,1,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,0,5008,0,0,0,0.0,0.0
